Timestamp,Número_Comisión,Estado,Anticipo
2025-11-19 10:45:36,00002,Comisión con comprobación pendiente de autorización,N/A,N/A
2025-11-19 12:35:59,00004,Comisión con reembolso en proceso,N/A,N/A
2025-11-19 13:53:30,00005,Solicitud de comisión en registro,MACIONAL,CON ANTICIPO
2025-11-20 11:24:32,00008,Comisión con comprobación pendiente de autorización,N/A,N/A
2025-11-19 17:03:46,00011,Solicitud de comisión en registro,MACIONAL,SIN ANTICIPO
2025-11-20 10:21:54,00010,Comisión pendiente de dotación,N/A,N/A
2025-11-20 11:33:00,00012,Solicitud de comisión en registro,INTERNACIONAL,CON ANTICIPO
2025-11-20 13:47:49,00013,Comprobación autorizada a favor del comisionado,N/A,N/A
2025-11-20 12:12:35,00014,Depósito en proceso,N/A,N/A
2025-11-20 16:40:56,00015,Depósito en proceso,N/A,N/A
2025-11-20 16:42:49,00016,Solicitud de comisión en registro,MACIONAL,ANTICIPO
2025-11-20 16:50:18,00017,Solicitud de comisión en registro,MACIONAL,ANTICIPO
2025-11-20 17:11:03,00018,Solicitud de comisión en registro,MACIONAL,SIN ANTICIPO
2025-11-21 11:53:45,00993,Comisión con comprobación pendiente de autorización,N/A,N/A
2025-11-21 12:00:41,00994,Comprobación autorizada a favor del comisionado,N/A,N/A
2025-11-21 12:17:26,00995,Comprobación autorizada a favor del comisionado,N/A,N/A
2025-11-23 10:53:47,00997,Depósito en proceso,N/A,N/A
2025-11-23 11:08:55,00996,Depósito en proceso,N/A,N/A
2025-11-23 11:10:19,00998,Solicitud de comisión en registro,MACIONAL,SIN ANTICIPO
2025-11-23 13:28:57,00999,Solicitud de comisión en registro,MACIONAL,SIN ANTICIPO
2025-11-23 13:35:51,01000,Solicitud de comisión en registro,MACIONAL,SIN ANTICIPO
2025-11-24 09:55:12,01001,Solicitud de comisión pendiente de autorización,NACIONAL,CON ANTICIPO
2025-11-23 17:36:50,01002,Solicitud de comisión en registro,MACIONAL,SIN ANTICIPO
2025-11-23 17:58:47,01003,Solicitud de comisión en registro,MACIONAL,SIN ANTICIPO
2025-11-23 20:09:09,01004,Depósito en proceso,NACIONAL,CON ANTICIPO
2025-11-24 10:23:05,01005,Comprobación autorizada a favor del comisionado,N/A,N/A
2025-11-24 11:02:59,01006,Comisión con reembolso en proceso,N/A,N/A
2025-11-23 19:29:37,01007,Depósito en proceso,NACIONAL,CON ANTICIPO
2025-11-24 11:22:40,01008,Comprobación autorizada a cargo del comisionado,N/A,N/A
2025-11-24 12:09:57,01009,Comprobación autorizada a cargo del comisionado,N/A,N/A
2025-11-23 20:18:03,01010,Comisión pendiente de dotación,NACIONAL,SIN ANTICIPO
2025-11-24 10:00:10,00988,Solicitud de comisión en registro,NACIONAL,CON ANTICIPO
2025-11-24 12:29:14,01014,Depósito en proceso,NACIONAL,CON ANTICIPO
2025-11-24 12:36:37,01015,Depósito en proceso,NACIONAL,CON ANTICIPO
2025-11-24 12:41:11,01016,Depósito en proceso,NACIONAL,CON ANTICIPO
2025-11-24 13:10:08,01017,Comisión con reembolso en proceso,N/A,N/A
2025-11-24 13:22:07,01018,Depósito en proceso,NACIONAL,CON ANTICIPO
2025-11-24 17:48:16,00019,Solicitud de comisión en registro,NACIONAL,CON ANTICIPO
2025-11-24 17:52:03,00020,Solicitud de comisión en registro,NACIONAL,CON ANTICIPO
2025-11-24 18:19:42,00021,Solicitud de comisión en registro,NACIONAL,CON ANTICIPO
2025-11-24 18:25:55,00022,Solicitud de comisión en registro,NACIONAL,CON ANTICIPO
2025-11-24 20:41:25,00023,Solicitud de comisión en registro,NACIONAL,CON ANTICIPO
2025-11-24 21:02:37,00024,Depósito en proceso,NACIONAL,CON ANTICIPO
2025-11-24 21:09:03,00025,Comisión con dotación autorizada,NACIONAL,CON ANTICIPO
2025-11-24 21:25:05,00026,Comisión con dotación autorizada,NACIONAL,CON ANTICIPO
2025-11-24 21:37:40,00027,Depósito en proceso,NACIONAL,CON ANTICIPO
2025-11-24 21:40:56,00028,Comisión pendiente de dotación,NACIONAL,CON ANTICIPO
2025-11-24 21:48:03,00029,Solicitud de comisión en registro,NACIONAL,CON ANTICIPO
2025-11-24 21:50:38,00030,Solicitud de comisión en registro,NACIONAL,CON ANTICIPO
2025-11-24 21:57:26,00031,Solicitud de comisión en registro,NACIONAL,CON ANTICIPO
2025-11-24 22:01:34,00032,Solicitud de comisión en registro,NACIONAL,CON ANTICIPO
2025-11-24 22:20:11,00034,Depósito en proceso,NACIONAL,CON ANTICIPO
2025-11-24 22:27:27,00035,Comisión con dotación autorizada,NACIONAL,CON ANTICIPO
2025-11-24 22:47:16,00036,Solicitud de comisión pendiente de autorización,NACIONAL,CON ANTICIPO
2025-11-24 22:56:02,00037,Solicitud de comisión pendiente de autorización,NACIONAL,CON ANTICIPO
2025-11-25 10:34:21,00038,Comprobación autorizada a cargo del comisionado,N/A,N/A
